,survived,pclass,sex,age,sibsp,parch,fare,embarked,alive,class,deck,alone,who,wc
0,0,3,male,22.0,1,0,7.25,S,False,third,,False,male,m
1,1,1,female,38.0,1,0,71.2833,C,True,first,,False,female,w/c
2,1,3,female,26.0,0,0,7.925,S,True,third,,True,female,w/c
3,1,1,female,35.0,1,0,53.1,S,True,first,,False,female,w/c
4,0,3,male,35.0,0,0,8.05,S,False,third,,True,male,m
5,0,3,male,,0,0,8.4583,Q,False,third,,True,male,m
6,0,1,male,54.0,0,0,51.8625,S,False,first,,True,male,m
7,0,3,male,2.0,3,1,21.075,S,False,third,,False,child,
8,1,3,female,27.0,0,2,11.1333,S,True,third,,False,female,w/c
9,1,2,female,14.0,1,0,30.0708,C,True,second,,False,child,
10,1,3,female,4.0,1,1,16.7,S,True,third,,False,child,
11,1,1,female,58.0,0,0,26.55,S,True,first,,True,female,w/c
12,0,3,male,20.0,0,0,8.05,S,False,third,,True,male,m
13,0,3,male,39.0,1,5,31.275,S,False,third,,False,male,m
14,0,3,female,14.0,0,0,7.8542,S,False,third,,True,child,
15,1,2,female,55.0,0,0,16.0,S,True,second,,True,female,w/c
16,0,3,male,2.0,4,1,29.125,Q,False,third,,False,child,
17,1,2,male,,0,0,13.0,S,True,second,,True,male,m
18,0,3,female,31.0,1,0,18.0,S,False,third,,False,female,w/c
19,1,3,female,,0,0,7.225,C,True,third,,True,female,w/c
20,0,2,male,35.0,0,0,26.0,S,False,second,,True,male,m
21,1,2,male,34.0,0,0,13.0,S,True,second,,True,male,m
22,1,3,female,15.0,0,0,8.0292,Q,True,third,,True,child,
23,1,1,male,28.0,0,0,35.5,S,True,first,,True,male,m
24,0,3,female,8.0,3,1,21.075,S,False,third,,False,child,
25,1,3,female,38.0,1,5,31.3875,S,True,third,,False,female,w/c
26,0,3,male,,0,0,7.225,C,False,third,,True,male,m
27,0,1,male,19.0,3,2,263.0,S,False,first,,False,male,m
28,1,3,female,,0,0,7.8792,Q,True,third,,True,female,w/c
29,0,3,male,,0,0,7.8958,S,False,third,,True,male,m
30,0,1,male,40.0,0,0,27.7208,C,False,first,,True,male,m
31,1,1,female,,1,0,146.5208,C,True,first,,False,female,w/c
32,1,3,female,,0,0,7.75,Q,True,third,,True,female,w/c
33,0,2,male,66.0,0,0,10.5,S,False,second,,True,male,m
34,0,1,male,28.0,1,0,82.1708,C,False,first,,False,male,m
35,0,1,male,42.0,1,0,52.0,S,False,first,,False,male,m
36,1,3,male,,0,0,7.2292,C,True,third,,True,male,m
37,0,3,male,21.0,0,0,8.05,S,False,third,,True,male,m
38,0,3,female,18.0,2,0,18.0,S,False,third,,False,female,w/c
39,1,3,female,14.0,1,0,11.2417,C,True,third,,False,child,
40,0,3,female,40.0,1,0,9.475,S,False,third,,False,female,w/c
41,0,2,female,27.0,1,0,21.0,S,False,second,,False,female,w/c
42,0,3,male,,0,0,7.8958,C,False,third,,True,male,m
43,1,2,female,3.0,1,2,41.5792,C,True,second,,False,child,
44,1,3,female,19.0,0,0,7.8792,Q,True,third,,True,female,w/c
45,0,3,male,,0,0,8.05,S,False,third,,True,male,m
46,0,3,male,,1,0,15.5,Q,False,third,,False,male,m
47,1,3,female,,0,0,7.75,Q,True,third,,True,female,w/c
48,0,3,male,,2,0,21.6792,C,False,third,,False,male,m
49,0,3,female,18.0,1,0,17.8,S,False,third,,False,female,w/c
50,0,3,male,7.0,4,1,39.6875,S,False,third,,False,child,
51,0,3,male,21.0,0,0,7.8,S,False,third,,True,male,m
52,1,1,female,49.0,1,0,76.7292,C,True,first,,False,female,w/c
53,1,2,female,29.0,1,0,26.0,S,True,second,,False,female,w/c
54,0,1,male,65.0,0,1,61.9792,C,False,first,,False,male,m
55,1,1,male,,0,0,35.5,S,True,first,,True,male,m
56,1,2,female,21.0,0,0,10.5,S,True,second,,True,female,w/c
57,0,3,male,28.5,0,0,7.2292,C,False,third,,True,male,m
58,1,2,female,5.0,1,2,27.75,S,True,second,,False,child,
59,0,3,male,11.0,5,2,46.9,S,False,third,,False,child,
60,0,3,male,22.0,0,0,7.2292,C,False,third,,True,male,m
61,1,1,female,38.0,0,0,80.0,,True,first,,True,female,w/c
62,0,1,male,45.0,1,0,83.475,S,False,first,,False,male,m
63,0,3,male,4.0,3,2,27.9,S,False,third,,False,child,
64,0,1,male,,0,0,27.7208,C,False,first,,True,male,m
65,1,3,male,,1,1,15.2458,C,True,third,,False,male,m
66,1,2,female,29.0,0,0,10.5,S,True,second,,True,female,w/c
67,0,3,male,19.0,0,0,8.1583,S,False,third,,True,male,m
68,1,3,female,17.0,4,2,7.925,S,True,third,,False,female,w/c
69,0,3,male,26.0,2,0,8.6625,S,False,third,,False,male,m
70,0,2,male,32.0,0,0,10.5,S,False,second,,True,male,m
71,0,3,female,16.0,5,2,46.9,S,False,third,,False,female,w/c
72,0,2,male,21.0,0,0,73.5,S,False,second,,True,male,m
73,0,3,male,26.0,1,0,14.4542,C,False,third,,False,male,m
74,1,3,male,32.0,0,0,56.4958,S,True,third,,True,male,m
75,0,3,male,25.0,0,0,7.65,S,False,third,,True,male,m
76,0,3,male,,0,0,7.8958,S,False,third,,True,male,m
77,0,3,male,,0,0,8.05,S,False,third,,True,male,m
78,1,2,male,0.83,0,2,29.0,S,True,second,,False,child,
79,1,3,female,30.0,0,0,12.475,S,True,third,,True,female,w/c
80,0,3,male,22.0,0,0,9.0,S,False,third,,True,male,m
81,1,3,male,29.0,0,0,9.5,S,True,third,,True,male,m
82,1,3,female,,0,0,7.7875,Q,True,third,,True,female,w/c
83,0,1,male,28.0,0,0,47.1,S,False,first,,True,male,m
84,1,2,female,17.0,0,0,10.5,S,True,second,,True,female,w/c
85,1,3,female,33.0,3,0,15.85,S,True,third,,False,female,w/c
86,0,3,male,16.0,1,3,34.375,S,False,third,,False,male,m
87,0,3,male,,0,0,8.05,S,False,third,,True,male,m
88,1,1,female,23.0,3,2,263.0,S,True,first,,False,female,w/c
89,0,3,male,24.0,0,0,8.05,S,False,third,,True,male,m
90,0,3,male,29.0,0,0,8.05,S,False,third,,True,male,m
91,0,3,male,20.0,0,0,7.8542,S,False,third,,True,male,m
92,0,1,male,46.0,1,0,61.175,S,False,first,,False,male,m
93,0,3,male,26.0,1,2,20.575,S,False,third,,False,male,m
94,0,3,male,59.0,0,0,7.25,S,False,third,,True,male,m
95,0,3,male,,0,0,8.05,S,False,third,,True,male,m
96,0,1,male,71.0,0,0,34.6542,C,False,first,,True,male,m
97,1,1,male,23.0,0,1,63.3583,C,True,first,,False,male,m
98,1,2,female,34.0,0,1,23.0,S,True,second,,False,female,w/c
99,0,2,male,34.0,1,0,26.0,S,False,second,,False,male,m
100,0,3,female,28.0,0,0,7.8958,S,False,third,,True,female,w/c
101,0,3,male,,0,0,7.8958,S,False,third,,True,male,m
102,0,1,male,21.0,0,1,77.2875,S,False,first,,False,male,m
103,0,3,male,33.0,0,0,8.6542,S,False,third,,True,male,m
104,0,3,male,37.0,2,0,7.925,S,False,third,,False,male,m
105,0,3,male,28.0,0,0,7.8958,S,False,third,,True,male,m
106,1,3,female,21.0,0,0,7.65,S,True,third,,True,female,w/c
107,1,3,male,,0,0,7.775,S,True,third,,True,male,m
108,0,3,male,38.0,0,0,7.8958,S,False,third,,True,male,m
109,1,3,female,,1,0,24.15,Q,True,third,,False,female,w/c
110,0,1,male,47.0,0,0,52.0,S,False,first,,True,male,m
111,0,3,female,14.5,1,0,14.4542,C,False,third,,False,child,
112,0,3,male,22.0,0,0,8.05,S,False,third,,True,male,m
113,0,3,female,20.0,1,0,9.825,S,False,third,,False,female,w/c
114,0,3,female,17.0,0,0,14.4583,C,False,third,,True,female,w/c
115,0,3,male,21.0,0,0,7.925,S,False,third,,True,male,m
116,0,3,male,70.5,0,0,7.75,Q,False,third,,True,male,m
117,0,2,male,29.0,1,0,21.0,S,False,second,,False,male,m
118,0,1,male,24.0,0,1,247.5208,C,False,first,,False,male,m
119,0,3,female,2.0,4,2,31.275,S,False,third,,False,child,
120,0,2,male,21.0,2,0,73.5,S,False,second,,False,male,m
121,0,3,male,,0,0,8.05,S,False,third,,True,male,m
122,0,2,male,32.5,1,0,30.0708,C,False,second,,False,male,m
123,1,2,female,32.5,0,0,13.0,S,True,second,,True,female,w/c
124,0,1,male,54.0,0,1,77.2875,S,False,first,,False,male,m
125,1,3,male,12.0,1,0,11.2417,C,True,third,,False,child,
126,0,3,male,,0,0,7.75,Q,False,third,,True,male,m
127,1,3,male,24.0,0,0,7.1417,S,True,third,,True,male,m
128,1,3,female,,1,1,22.3583,C,True,third,,False,female,w/c
129,0,3,male,45.0,0,0,6.975,S,False,third,,True,male,m
130,0,3,male,33.0,0,0,7.8958,C,False,third,,True,male,m
131,0,3,male,20.0,0,0,7.05,S,False,third,,True,male,m
132,0,3,female,47.0,1,0,14.5,S,False,third,,False,female,w/c
133,1,2,female,29.0,1,0,26.0,S,True,second,,False,female,w/c
134,0,2,male,25.0,0,0,13.0,S,False,second,,True,male,m
135,0,2,male,23.0,0,0,15.0458,C,False,second,,True,male,m
136,1,1,female,19.0,0,2,26.2833,S,True,first,,False,female,w/c
137,0,1,male,37.0,1,0,53.1,S,False,first,,False,male,m
138,0,3,male,16.0,0,0,9.2167,S,False,third,,True,male,m
139,0,1,male,24.0,0,0,79.2,C,False,first,,True,male,m
140,0,3,female,,0,2,15.2458,C,False,third,,False,female,w/c
141,1,3,female,22.0,0,0,7.75,S,True,third,,True,female,w/c
142,1,3,female,24.0,1,0,15.85,S,True,third,,False,female,w/c
143,0,3,male,19.0,0,0,6.75,Q,False,third,,True,male,m
144,0,2,male,18.0,0,0,11.5,S,False,second,,True,male,m
145,0,2,male,19.0,1,1,36.75,S,False,second,,False,male,m
146,1,3,male,27.0,0,0,7.7958,S,True,third,,True,male,m
147,0,3,female,9.0,2,2,34.375,S,False,third,,False,child,
148,0,2,male,36.5,0,2,26.0,S,False,second,,False,male,m
149,0,2,male,42.0,0,0,13.0,S,False,second,,True,male,m
150,0,2,male,51.0,0,0,12.525,S,False,second,,True,male,m
151,1,1,female,22.0,1,0,66.6,S,True,first,,False,female,w/c
152,0,3,male,55.5,0,0,8.05,S,False,third,,True,male,m
153,0,3,male,40.5,0,2,14.5,S,False,third,,False,male,m
154,0,3,male,,0,0,7.3125,S,False,third,,True,male,m
155,0,1,male,51.0,0,1,61.3792,C,False,first,,False,male,m
156,1,3,female,16.0,0,0,7.7333,Q,True,third,,True,female,w/c
157,0,3,male,30.0,0,0,8.05,S,False,third,,True,male,m
158,0,3,male,,0,0,8.6625,S,False,third,,True,male,m
159,0,3,male,,8,2,69.55,S,False,third,,False,male,m
160,0,3,male,44.0,0,1,16.1,S,False,third,,False,male,m
161,1,2,female,40.0,0,0,15.75,S,True,second,,True,female,w/c
162,0,3,male,26.0,0,0,7.775,S,False,third,,True,male,m
163,0,3,male,17.0,0,0,8.6625,S,False,third,,True,male,m
164,0,3,male,1.0,4,1,39.6875,S,False,third,,False,child,
165,1,3,male,9.0,0,2,20.525,S,True,third,,False,child,
166,1,1,female,,0,1,55.0,S,True,first,,False,female,w/c
167,0,3,female,45.0,1,4,27.9,S,False,third,,False,female,w/c
168,0,1,male,,0,0,25.925,S,False,first,,True,male,m
169,0,3,male,28.0,0,0,56.4958,S,False,third,,True,male,m
170,0,1,male,61.0,0,0,33.5,S,False,first,,True,male,m
171,0,3,male,4.0,4,1,29.125,Q,False,third,,False,child,
172,1,3,female,1.0,1,1,11.1333,S,True,third,,False,child,
173,0,3,male,21.0,0,0,7.925,S,False,third,,True,male,m
174,0,1,male,56.0,0,0,30.6958,C,False,first,,True,male,m
175,0,3,male,18.0,1,1,7.8542,S,False,third,,False,male,m
176,0,3,male,,3,1,25.4667,S,False,third,,False,male,m
177,0,1,female,50.0,0,0,28.7125,C,False,first,,True,female,w/c
178,0,2,male,30.0,0,0,13.0,S,False,second,,True,male,m
179,0,3,male,36.0,0,0,0.0,S,False,third,,True,male,m
180,0,3,female,,8,2,69.55,S,False,third,,False,female,w/c
181,0,2,male,,0,0,15.05,C,False,second,,True,male,m
182,0,3,male,9.0,4,2,31.3875,S,False,third,,False,child,
183,1,2,male,1.0,2,1,39.0,S,True,second,,False,child,
184,1,3,female,4.0,0,2,22.025,S,True,third,,False,child,
185,0,1,male,,0,0,50.0,S,False,first,,True,male,m
186,1,3,female,,1,0,15.5,Q,True,third,,False,female,w/c
187,1,1,male,45.0,0,0,26.55,S,True,first,,True,male,m
188,0,3,male,40.0,1,1,15.5,Q,False,third,,False,male,m
189,0,3,male,36.0,0,0,7.8958,S,False,third,,True,male,m
190,1,2,female,32.0,0,0,13.0,S,True,second,,True,female,w/c
191,0,2,male,19.0,0,0,13.0,S,False,second,,True,male,m
192,1,3,female,19.0,1,0,7.8542,S,True,third,,False,female,w/c
193,1,2,male,3.0,1,1,26.0,S,True,second,,False,child,
194,1,1,female,44.0,0,0,27.7208,C,True,first,,True,female,w/c
195,1,1,female,58.0,0,0,146.5208,C,True,first,,True,female,w/c
196,0,3,male,,0,0,7.75,Q,False,third,,True,male,m
197,0,3,male,42.0,0,1,8.4042,S,False,third,,False,male,m
198,1,3,female,,0,0,7.75,Q,True,third,,True,female,w/c
199,0,2,female,24.0,0,0,13.0,S,False,second,,True,female,w/c
200,0,3,male,28.0,0,0,9.5,S,False,third,,True,male,m
201,0,3,male,,8,2,69.55,S,False,third,,False,male,m
202,0,3,male,34.0,0,0,6.4958,S,False,third,,True,male,m
203,0,3,male,45.5,0,0,7.225,C,False,third,,True,male,m
204,1,3,male,18.0,0,0,8.05,S,True,third,,True,male,m
205,0,3,female,2.0,0,1,10.4625,S,False,third,,False,child,
206,0,3,male,32.0,1,0,15.85,S,False,third,,False,male,m
207,1,3,male,26.0,0,0,18.7875,C,True,third,,True,male,m
208,1,3,female,16.0,0,0,7.75,Q,True,third,,True,female,w/c
209,1,1,male,40.0,0,0,31.0,C,True,first,,True,male,m
210,0,3,male,24.0,0,0,7.05,S,False,third,,True,male,m
211,1,2,female,35.0,0,0,21.0,S,True,second,,True,female,w/c
212,0,3,male,22.0,0,0,7.25,S,False,third,,True,male,m
213,0,2,male,30.0,0,0,13.0,S,False,second,,True,male,m
214,0,3,male,,1,0,7.75,Q,False,third,,False,male,m
215,1,1,female,31.0,1,0,113.275,C,True,first,,False,female,w/c
216,1,3,female,27.0,0,0,7.925,S,True,third,,True,female,w/c
217,0,2,male,42.0,1,0,27.0,S,False,second,,False,male,m
218,1,1,female,32.0,0,0,76.2917,C,True,first,,True,female,w/c
219,0,2,male,30.0,0,0,10.5,S,False,second,,True,male,m
220,1,3,male,16.0,0,0,8.05,S,True,third,,True,male,m
221,0,2,male,27.0,0,0,13.0,S,False,second,,True,male,m
222,0,3,male,51.0,0,0,8.05,S,False,third,,True,male,m
223,0,3,male,,0,0,7.8958,S,False,third,,True,male,m
224,1,1,male,38.0,1,0,90.0,S,True,first,,False,male,m
225,0,3,male,22.0,0,0,9.35,S,False,third,,True,male,m
226,1,2,male,19.0,0,0,10.5,S,True,second,,True,male,m
227,0,3,male,20.5,0,0,7.25,S,False,third,,True,male,m
228,0,2,male,18.0,0,0,13.0,S,False,second,,True,male,m
229,0,3,female,,3,1,25.4667,S,False,third,,False,female,w/c
230,1,1,female,35.0,1,0,83.475,S,True,first,,False,female,w/c
231,0,3,male,29.0,0,0,7.775,S,False,third,,True,male,m
232,0,2,male,59.0,0,0,13.5,S,False,second,,True,male,m
233,1,3,female,5.0,4,2,31.3875,S,True,third,,False,child,
234,0,2,male,24.0,0,0,10.5,S,False,second,,True,male,m
235,0,3,female,,0,0,7.55,S,False,third,,True,female,w/c
236,0,2,male,44.0,1,0,26.0,S,False,second,,False,male,m
237,1,2,female,8.0,0,2,26.25,S,True,second,,False,child,
238,0,2,male,19.0,0,0,10.5,S,False,second,,True,male,m
239,0,2,male,33.0,0,0,12.275,S,False,second,,True,male,m
240,0,3,female,,1,0,14.4542,C,False,third,,False,female,w/c
241,1,3,female,,1,0,15.5,Q,True,third,,False,female,w/c
242,0,2,male,29.0,0,0,10.5,S,False,second,,True,male,m
243,0,3,male,22.0,0,0,7.125,S,False,third,,True,male,m
244,0,3,male,30.0,0,0,7.225,C,False,third,,True,male,m
245,0,1,male,44.0,2,0,90.0,Q,False,first,,False,male,m
246,0,3,female,25.0,0,0,7.775,S,False,third,,True,female,w/c
247,1,2,female,24.0,0,2,14.5,S,True,second,,False,female,w/c
248,1,1,male,37.0,1,1,52.5542,S,True,first,,False,male,m
249,0,2,male,54.0,1,0,26.0,S,False,second,,False,male,m
250,0,3,male,,0,0,7.25,S,False,third,,True,male,m
251,0,3,female,29.0,1,1,10.4625,S,False,third,,False,female,w/c
252,0,1,male,62.0,0,0,26.55,S,False,first,,True,male,m
253,0,3,male,30.0,1,0,16.1,S,False,third,,False,male,m
254,0,3,female,41.0,0,2,20.2125,S,False,third,,False,female,w/c
255,1,3,female,29.0,0,2,15.2458,C,True,third,,False,female,w/c
256,1,1,female,,0,0,79.2,C,True,first,,True,female,w/c
257,1,1,female,30.0,0,0,86.5,S,True,first,,True,female,w/c
258,1,1,female,35.0,0,0,512.3292,C,True,first,,True,female,w/c
259,1,2,female,50.0,0,1,26.0,S,True,second,,False,female,w/c
260,0,3,male,,0,0,7.75,Q,False,third,,True,male,m
261,1,3,male,3.0,4,2,31.3875,S,True,third,,False,child,
262,0,1,male,52.0,1,1,79.65,S,False,first,,False,male,m
263,0,1,male,40.0,0,0,0.0,S,False,first,,True,male,m
264,0,3,female,,0,0,7.75,Q,False,third,,True,female,w/c
265,0,2,male,36.0,0,0,10.5,S,False,second,,True,male,m
266,0,3,male,16.0,4,1,39.6875,S,False,third,,False,male,m
267,1,3,male,25.0,1,0,7.775,S,True,third,,False,male,m
268,1,1,female,58.0,0,1,153.4625,S,True,first,,False,female,w/c
269,1,1,female,35.0,0,0,135.6333,S,True,first,,True,female,w/c
270,0,1,male,,0,0,31.0,S,False,first,,True,male,m
271,1,3,male,25.0,0,0,0.0,S,True,third,,True,male,m
272,1,2,female,41.0,0,1,19.5,S,True,second,,False,female,w/c
273,0,1,male,37.0,0,1,29.7,C,False,first,,False,male,m
274,1,3,female,,0,0,7.75,Q,True,third,,True,female,w/c
275,1,1,female,63.0,1,0,77.9583,S,True,first,,False,female,w/c
276,0,3,female,45.0,0,0,7.75,S,False,third,,True,female,w/c
277,0,2,male,,0,0,0.0,S,False,second,,True,male,m
278,0,3,male,7.0,4,1,29.125,Q,False,third,,False,child,
279,1,3,female,35.0,1,1,20.25,S,True,third,,False,female,w/c
280,0,3,male,65.0,0,0,7.75,Q,False,third,,True,male,m
281,0,3,male,28.0,0,0,7.8542,S,False,third,,True,male,m
282,0,3,male,16.0,0,0,9.5,S,False,third,,True,male,m
283,1,3,male,19.0,0,0,8.05,S,True,third,,True,male,m
284,0,1,male,,0,0,26.0,S,False,first,,True,male,m
285,0,3,male,33.0,0,0,8.6625,C,False,third,,True,male,m
286,1,3,male,30.0,0,0,9.5,S,True,third,,True,male,m
287,0,3,male,22.0,0,0,7.8958,S,False,third,,True,male,m
288,1,2,male,42.0,0,0,13.0,S,True,second,,True,male,m
289,1,3,female,22.0,0,0,7.75,Q,True,third,,True,female,w/c
290,1,1,female,26.0,0,0,78.85,S,True,first,,True,female,w/c
291,1,1,female,19.0,1,0,91.0792,C,True,first,,False,female,w/c
292,0,2,male,36.0,0,0,12.875,C,False,second,,True,male,m
293,0,3,female,24.0,0,0,8.85,S,False,third,,True,female,w/c
294,0,3,male,24.0,0,0,7.8958,S,False,third,,True,male,m
295,0,1,male,,0,0,27.7208,C,False,first,,True,male,m
296,0,3,male,23.5,0,0,7.2292,C,False,third,,True,male,m
